LocationId,Name,Description,Location,Date,LineColor
1498735,PW-477,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9958900,40.4138000,0 -79.9970400,40.4137900,0 -79.9970400,40.4140700,0</coordinates></LineString>",1/20/2015 10:13:07 AM,#838A00
1498730,PW-411,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0004700,40.4195400,0 -80.0004900,40.4199500,0 -79.9996700,40.4199600,0 -79.9988700,40.4199800,0 -79.9974600,40.4200100,0</coordinates></LineString>",1/20/2015 10:13:13 AM,#838A00
1498729,PW-212,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9731600,40.4612800,0 -79.9715500,40.4599500,0</coordinates></LineString>",1/20/2015 10:13:28 AM,#838A00
1498731,PW-216,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9108900,40.4579500,0 -79.9131200,40.4588100,0 -79.9157100,40.4598300,0 -79.9156300,40.4600700,0 -79.9156100,40.4601700,0 -79.9156300,40.4604000,0 -79.9157200,40.4608300,0 -79.9158400,40.4612300,0</coordinates></LineString>",1/20/2015 10:13:29 AM,#838A00
1498734,PW-217,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9195000,40.4650000,0 -79.9198800,40.4651400,0 -79.9199600,40.4650200,0 -79.9199800,40.4648900,0 -79.9203300,40.4643100,0 -79.9208300,40.4635100,0 -79.9210400,40.4631600,0 -79.9211100,40.4630800,0 -79.9212900,40.4628900,0 -79.9216100,40.4629900,0 -79.9222500,40.4632100,0 -79.9225900,40.4633300,0 -79.9237700,40.4637400,0 -79.9236100,40.4641200,0 -79.9228000,40.4658800,0 -79.9227300,40.4660400,0</coordinates></LineString>",1/20/2015 10:13:36 AM,#838A00
1498732,PW-236,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9612900,40.4656000,0 -79.9637400,40.4675600,0 -79.9623700,40.4686600,0</coordinates></LineString>",1/20/2015 10:13:47 AM,#838A00
1498733,PW-209,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.8962500,40.4560300,0 -79.8961300,40.4563400,0 -79.8966600,40.4564700,0 -79.8962900,40.4574000,0 -79.8960800,40.4573500,0</coordinates></LineString>",1/20/2015 10:13:48 AM,#838A00
1498754,PW-604,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9995100,40.4387100,0 -79.9985600,40.4383700,0 -79.9977300,40.4380800,0 -79.9981000,40.4375300,0 -79.9983600,40.4371600,0 -79.9984600,40.4370200,0 -79.9987400,40.4366200,0 -79.9991700,40.4360800,0 -79.9999800,40.4363700,0 -80.0007400,40.4366700,0 -80.0009000,40.4367300,0 -80.0008200,40.4368400,0 -80.0006500,40.4370900,0</coordinates></LineString>",1/20/2015 10:13:51 AM,#838A00
1498737,PW-30,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9741400,40.4429600,0 -79.9740700,40.4428800,0</coordinates></LineString>",1/20/2015 10:13:52 AM,#838A00
1498750,PW-105,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0066100,40.4797500,0 -80.0065700,40.4799600,0 -80.0064600,40.4803100,0 -80.0062600,40.4807500,0 -80.0059100,40.4816000,0 -80.0058700,40.4817200,0 -80.0058600,40.4819400,0 -80.0058800,40.4821100,0 -80.0059900,40.4823600,0 -80.0062200,40.4826100,0 -80.0064500,40.4827500,0 -80.0066000,40.4828300,0 -80.0068400,40.4829100,0 -80.0076800,40.4830800,0 -80.0085200,40.4832500,0 -80.0086900,40.4833400,0 -80.0089000,40.4834600,0 -80.0090800,40.4836500,0 -80.0091500,40.4837700,0 -80.0092900,40.4844300,0</coordinates></LineString>",1/20/2015 10:13:54 AM,#838A00
